2025-08-21 20:30:38 [INFO]: Loading Overrides...
2025-08-21 20:30:38 [INFO]: Loading World Types...
2025-08-21 20:30:38 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: Loading Defaults...
2025-08-21 20:30:38 [INFO]: Loading Custom Worlds...
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-08-21 20:30:38 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-08-21 20:30:38 [INFO]: Database QUEUE:Queue configured and loaded!
2025-08-21 20:30:38 [INFO]: Database PLAYERS:Players configured and loaded!
2025-08-21 20:30:38 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-08-21 20:33:09 [INFO]: Queue position generated: id= default_world_nether, database_ID= 56, location= x: -8706, y: 49, z: 3383, world: world_nether
2025-08-21 20:33:13 [INFO]: Queue position generated: id= default_world_nether, database_ID= 57, location= x: 1476, y: 85, z: 3615, world: world_nether
2025-08-21 20:33:15 [INFO]: Queue position generated: id= default_world_nether, database_ID= 58, location= x: -6107, y: 72, z: -7026, world: world_nether
2025-08-21 20:33:18 [INFO]: Queue position generated: id= default_world_nether, database_ID= 59, location= x: 7264, y: 32, z: -2630, world: world_nether
2025-08-21 20:33:20 [INFO]: Queue position generated: id= default_world_nether, database_ID= 60, location= x: 5085, y: 35, z: 5921, world: world_nether
2025-08-21 20:33:22 [INFO]: Queue position generated: id= default_world_nether, database_ID= 61, location= x: -5713, y: 76, z: -1378, world: world_nether
2025-08-21 20:33:24 [INFO]: Queue position generated: id= default_world_nether, database_ID= 62, location= x: -9127, y: 32, z: -8604, world: world_nether
2025-08-21 20:33:25 [INFO]: Queue position generated: id= default_world_nether, database_ID= 63, location= x: 6896, y: 82, z: 7995, world: world_nether
2025-08-21 20:33:27 [INFO]: Queue position generated: id= default_world_nether, database_ID= 64, location= x: -2443, y: 33, z: -2116, world: world_nether
2025-08-21 20:33:28 [INFO]: Queue position generated: id= default_world_nether, database_ID= 65, location= x: 2620, y: 92, z: -2663, world: world_nether
